what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1304671352630
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1304671352630
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1304671352645
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1304671352646
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1304671352647
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304671352648
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1304671352649
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1304671352649
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1304671352651
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1304671352660
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1304671352660
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1304671352661
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1304671352661
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1304671352662
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304671352662
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304671352663
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304671352664
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304671352664
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304671352665
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304671352665
os,sysinfo,,,"macosx",1304671352669
arch,sysinfo,,,"x86_64",1304671352669
ws,sysinfo,,,"cocoa",1304671352669
locale,sysinfo,,,"en_US",1304671352669
processors,sysinfo,,,"2",1304671352669
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304671352669
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1304671352669
java.specification.name,sysinfo,,,"Java Platform API Specification",1304671352669
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304671352669
java.specification.version,sysinfo,,,"1.6",1304671352669
java.vendor,sysinfo,,,"Apple Inc.",1304671352669
java.version,sysinfo,,,"1.6.0_24",1304671352669
java.vm.info,sysinfo,,,"mixed mode",1304671352669
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304671352669
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304671352669
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304671352669
java.vm.specification.version,sysinfo,,,"1.0",1304671352669
java.vm.vendor,sysinfo,,,"Apple Inc.",1304671352669
java.vm.version,sysinfo,,,"19.1-b02-334",1304671352669
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671353437
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671353454
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1304671353471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671358617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671407681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304671407710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304671407710
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1304671415285
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1304671415586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671415992
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304671429182
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304671429277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671432886
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304671433605
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1304671440944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671441238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671450004
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304671454021
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1304671454060
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1304671454209
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671456691
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1304671456691
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304671458159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671463608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671463695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671465717
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1304671465757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304671465757
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304671473860
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671474149
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671474259
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1304671489866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1304671501735
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671509558
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671509857
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671518445
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671518836
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671518893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1304671544793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1304671560695
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304671565021
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304671565323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1304671574537
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1304671579446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671579847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671585384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671598613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671609696
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1304671623784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671624246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671631835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671637651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671649747
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1304671651897
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1304671652016
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1304671652042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304671656269
